Format Version,1.23,Take Name,Take 2021-08-31 04.28.09 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-08-31 04.28.10.058 PM,Capture Start Frame,617850,Total Frames in Take,2182,Total Exported Frames,2182,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z
195,1.950000,-8.268490,-0.014377,-0.274516,-1.227017,2.002343,1.470039
196,1.960000,-8.259735,-0.029053,-0.403941,-1.226964,2.002243,1.470063
197,1.970000,-8.261801,-0.011292,-0.437710,-1.226959,2.002245,1.470051
198,1.980000,-8.252377,-0.010472,-0.420235,-1.226958,2.002263,1.470066
199,1.990000,-8.221587,0.005749,-0.297819,-1.227064,2.002348,1.470107
200,2.000000,-8.134254,0.008720,-0.455162,-1.227002,2.002222,1.470087
201,2.010000,-8.209620,0.007742,-0.446098,-1.227027,2.002232,1.470132
202,2.020000,-8.191163,0.033313,-0.469487,-1.227044,2.002269,1.470133
203,2.030000,-8.183718,0.014447,-0.427281,-1.227116,2.002227,1.470225
204,2.040000,-8.199494,0.025350,-0.440664,-1.227092,2.002206,1.470218
205,2.050000,-8.190892,-0.001318,-0.427199,-1.227089,2.002202,1.470221
206,2.060000,-8.196355,0.028865,-0.421039,-1.227091,2.002197,1.470214
207,2.070000,-8.187527,0.005108,-0.423210,-1.227100,2.002221,1.470203
208,2.080000,-8.189204,0.009849,-0.425342,-1.227098,2.002232,1.470206
209,2.090000,-8.182696,0.016960,-0.417606,-1.227118,2.002187,1.470201
210,2.100000,-8.172338,-0.031818,-0.272075,-1.227178,2.002272,1.470212
211,2.110000,-8.196826,0.022679,-0.423485,-1.227102,2.002201,1.470217
212,2.120000,-8.183017,0.011243,-0.425382,-1.227090,2.002219,1.470232
213,2.130000,-8.186260,0.011921,-0.425542,-1.227096,2.002233,1.470232
214,2.140000,-8.138843,0.133606,-0.469640,-1.227152,2.002257,1.470277
215,2.150000,-8.202040,0.002704,-0.431542,-1.227078,2.002200,1.470227
216,2.160000,-8.138798,0.149821,-0.470858,-1.227123,2.002284,1.470284
217,2.170000,-8.195729,0.025010,-0.416814,-1.227112,2.002216,1.470221
218,2.180000,-8.188534,0.068715,-0.435487,-1.227122,2.002252,1.470178
